2018.09.05 00:00:00,1.15875,1.1587
2018.09.05 00:01:00,1.15871,1.15855
2018.09.05 00:02:00,1.1586,1.15859
2018.09.05 00:03:00,1.15864,1.15864
2018.09.05 00:04:00,1.15869,1.15864
2018.09.05 00:05:00,1.15864,1.15844
2018.09.05 00:06:00,1.15844,1.15834
2018.09.05 00:07:00,1.15834,1.15832
2018.09.05 00:08:00,1.15836,1.15834
2018.09.05 00:09:00,1.15835,1.15835
2018.09.05 00:10:00,1.15839,1.15834
2018.09.05 00:11:00,1.15835,1.15831
2018.09.05 00:12:00,1.15835,1.15831
2018.09.05 00:13:00,1.15831,1.15819
2018.09.05 00:14:00,1.15819,1.15815
2018.09.05 00:15:00,1.15834,1.15826
2018.09.05 00:16:00,1.15827,1.15825
2018.09.05 00:17:00,1.1583,1.1583
2018.09.05 00:18:00,1.15841,1.15841
2018.09.05 00:19:00,1.1585,1.15841
2018.09.05 00:20:00,1.15849,1.15848
2018.09.05 00:21:00,1.15854,1.15851
2018.09.05 00:22:00,1.1586,1.15859
2018.09.05 00:23:00,1.15864,1.15864
2018.09.05 00:24:00,1.15875,1.15866
2018.09.05 00:25:00,1.15868,1.15868
2018.09.05 00:26:00,1.15871,1.15871
2018.09.05 00:27:00,1.1587,1.15868
2018.09.05 00:28:00,1.15868,1.15857
2018.09.05 00:29:00,1.15858,1.15853
2018.09.05 00:30:00,1.15854,1.15849
2018.09.05 00:31:00,1.15848,1.15845
2018.09.05 00:32:00,1.1586,1.15855
2018.09.05 00:33:00,1.15855,1.15842
2018.09.05 00:34:00,1.15848,1.15834
2018.09.05 00:35:00,1.15841,1.15834
2018.09.05 00:36:00,1.15836,1.15836
2018.09.05 00:37:00,1.15842,1.15835
2018.09.05 00:38:00,1.15835,1.15834
2018.09.05 00:39:00,1.15836,1.15834
2018.09.05 00:40:00,1.15834,1.15828
2018.09.05 00:41:00,1.15835,1.15833
2018.09.05 00:42:00,1.15837,1.15834
2018.09.05 00:43:00,1.15854,1.15848
2018.09.05 00:44:00,1.15857,1.15854
2018.09.05 00:45:00,1.15854,1.15852
2018.09.05 00:46:00,1.15851,1.15844
2018.09.05 00:47:00,1.15844,1.1584
2018.09.05 00:48:00,1.15844,1.15844
2018.09.05 00:49:00,1.15845,1.15839
2018.09.05 00:50:00,1.1584,1.15828
2018.09.05 00:51:00,1.15838,1.15834
2018.09.05 00:52:00,1.15838,1.15829
2018.09.05 00:53:00,1.15834,1.15833
2018.09.05 00:54:00,1.15846,1.15846
2018.09.05 00:55:00,1.15852,1.15834
2018.09.05 00:56:00,1.15852,1.15852
2018.09.05 00:57:00,1.15874,1.15874
2018.09.05 00:58:00,1.15875,1.15861
2018.09.05 00:59:00,1.15865,1.15851
2018.09.05 01:00:00,1.15854,1.15821
2018.09.05 01:01:00,1.15853,1.15841
2018.09.05 01:02:00,1.15853,1.15848
2018.09.05 01:03:00,1.15848,1.15843
2018.09.05 01:04:00,1.15866,1.15862
2018.09.05 01:05:00,1.15872,1.1587
2018.09.05 01:06:00,1.1587,1.15862
2018.09.05 01:07:00,1.1587,1.15869
2018.09.05 01:08:00,1.1587,1.15869
2018.09.05 01:09:00,1.15869,1.15868
2018.09.05 01:10:00,1.15868,1.15861
2018.09.05 01:11:00,1.15861,1.15859
2018.09.05 01:12:00,1.1586,1.15858
2018.09.05 01:13:00,1.15858,1.15858
2018.09.05 01:14:00,1.1589,1.15885
2018.09.05 01:15:00,1.15889,1.1588
2018.09.05 01:16:00,1.15891,1.15881
2018.09.05 01:17:00,1.15889,1.15889
2018.09.05 01:18:00,1.15937,1.15936
2018.09.05 01:19:00,1.1596,1.15949
2018.09.05 01:20:00,1.15958,1.15958
2018.09.05 01:21:00,1.15967,1.15954
2018.09.05 01:22:00,1.15979,1.15971
2018.09.05 01:23:00,1.15971,1.15959
2018.09.05 01:24:00,1.15969,1.15958
2018.09.05 01:25:00,1.15979,1.15976
2018.09.05 01:26:00,1.15979,1.15969
2018.09.05 01:27:00,1.15971,1.15958
2018.09.05 01:28:00,1.15959,1.15951
2018.09.05 01:29:00,1.15969,1.15959
2018.09.05 01:30:00,1.16032,1.15988
2018.09.05 01:31:00,1.16029,1.16029
2018.09.05 01:32:00,1.16031,1.16
2018.09.05 01:33:00,1.16007,1.15988
2018.09.05 01:34:00,1.15993,1.15973
2018.09.05 01:35:00,1.15974,1.15961
2018.09.05 01:36:00,1.15964,1.1595
2018.09.05 01:37:00,1.15955,1.15944
2018.09.05 01:38:00,1.15958,1.15956
2018.09.05 01:39:00,1.15963,1.15959
2018.09.05 01:40:00,1.15985,1.15976
2018.09.05 01:41:00,1.15985,1.15975
2018.09.05 01:42:00,1.15993,1.15975
2018.09.05 01:43:00,1.15978,1.15971
2018.09.05 01:44:00,1.15989,1.15975
2018.09.05 01:45:00,1.15974,1.15963
2018.09.05 01:46:00,1.15962,1.15958
2018.09.05 01:47:00,1.15959,1.1595
2018.09.05 01:48:00,1.15951,1.15944
2018.09.05 01:49:00,1.15959,1.15952
2018.09.05 01:50:00,1.15962,1.15946
2018.09.05 01:51:00,1.15954,1.15936
2018.09.05 01:52:00,1.15961,1.1596
2018.09.05 01:53:00,1.1596,1.15951
2018.09.05 01:54:00,1.15952,1.15947
2018.09.05 01:55:00,1.15948,1.1594
2018.09.05 01:56:00,1.1596,1.1596
2018.09.05 01:57:00,1.1596,1.15951
2018.09.05 01:58:00,1.1597,1.1597
2018.09.05 01:59:00,1.1597,1.15963
2018.09.05 02:00:00,1.15967,1.15942
